Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
145617.000 02 3.852
145617.000 03 0.304
145617.080 01 0.828
145617.080 02 2.996
145617.080 03 0.304
145617.160 01 0.828
145617.160 02 2.996
145617.160 03 0.304
145617.241 01 0.828
145617.241 02 3.424
145617.241 03 0.304
145617.321 01 0.828
145617.321 02 2.996
145617.321 03 0.304
145617.401 01 0.828
145617.401 02 3.424
145617.401 03 0.304
145617.481 01 0.828
145617.481 02 3.424
145617.481 03 0.304
145617.562 01 0.825
145617.562 02 3.424
145617.562 03 0.304
145617.641 01 0.828
145617.641 02 3.424
145617.641 03 0.304
145617.722 01 0.828
145617.722 02 3.424
145617.722 03 0.304
145617.802 01 0.828
145617.802 02 3.424
145617.802 03 0.304
145617.882 01 0.828
145617.882 02 3.424
145617.882 03 0.304
145617.962 01 0.828
145617.962 02 3.424
145617.962 03 0.304
145618.043 01 0.828
145618.043 02 3.424
145618.043 03 0.304
145618.123 01 0.828
145618.123 02 2.996
145618.123 03 0.304
145618.203 01 0.828
145618.203 02 3.424
145618.203 03 0.304
145618.284 01 0.828
145618.284 02 3.852
145618.284 03 0.304
145618.364 01 0.828
145618.364 02 3.424
145618.364 03 0.304
145618.444 01 0.828
145618.444 02 3.424
145618.444 03 0.304
145618.525 01 0.828
145618.525 02 3.424
145618.525 03 0.304
145618.604 01 0.828
145618.604 02 2.996
145618.604 03 0.304
145618.684 01 0.828
145618.684 02 3.424
145618.684 03 0.304
145618.765 01 0.828
145618.765 02 3.424
145618.765 03 0.304
145618.846 01 0.828
145618.846 02 3.424
145618.846 03 0.304
145618.926 01 0.828
145618.926 02 2.996
145618.926 03 0.304
145619.006 01 0.828
145619.006 02 3.424
145619.007 03 0.304
145619.086 01 0.825
145619.086 02 3.424
145619.086 03 0.304
145619.166 01 0.828
145619.167 02 3.424
145619.167 03 0.304
145619.247 01 0.825
145619.247 02 2.996
145619.247 03 0.304
145619.327 01 0.828
145619.327 02 3.424
145619.327 03 0.304
145619.407 01 0.828
145619.407 02 2.996
145619.407 03 0.304
145619.487 01 0.828
145619.487 02 3.424
145619.487 03 0.304
145619.567 01 0.828
145619.567 02 2.996
145619.567 03 0.304
145619.647 01 0.828
145619.647 02 2.996
145619.647 03 0.304
145619.728 01 0.828
145619.728 02 3.424
145619.728 03 0.304
145619.808 01 0.828
145619.808 02 2.996
145619.808 03 0.304
145619.888 01 0.828
145619.888 02 2.996
145619.888 03 0.304
145619.969 01 0.828
145619.969 02 3.424
145619.969 03 0.304
145620.049 01 0.828
145620.049 02 3.852
145620.049 03 0.304
145620.129 01 0.828
145620.129 02 2.996
145620.129 03 0.304
145620.210 01 0.828
145620.210 02 3.424
145620.210 03 0.304
145620.290 01 0.828
145620.290 02 3.424
145620.290 03 0.304
145620.370 01 0.828
145620.370 02 2.996
145620.371 03 0.304
145620.451 01 0.828
145620.451 02 3.424
145620.451 03 0.304
145620.531 01 0.828
145620.531 02 3.424
145620.531 03 0.304
145620.611 01 0.828
145620.611 02 3.424
145620.611 03 0.304
145620.692 01 0.828
145620.692 02 2.996
145620.692 03 0.304
145620.772 01 0.828
145620.772 02 2.996
145620.772 03 0.304
145620.852 01 0.828
145620.853 02 2.996
145620.853 03 0.304
145620.933 01 0.828
145620.933 02 2.996
145620.933 03 0.304
145621.013 01 0.828
145621.013 02 2.568
145621.013 03 0.304
145621.093 01 0.828
145621.093 02 2.996
145621.094 03 0.304
145621.173 01 0.828
145621.174 02 3.424
145621.174 03 0.304
145621.254 01 0.828
145621.254 02 2.996
145621.254 03 0.304
145621.335 01 0.828
145621.335 02 2.996
145621.335 03 0.304
145621.414 01 0.828
145621.414 02 3.424
