Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
130610.299 02 3.852
130610.299 03 0.000
130610.379 01 1.065
130610.379 02 4.280
130610.379 03 -0.152
130610.460 01 1.065
130610.460 02 4.280
130610.460 03 0.000
130610.539 01 1.065
130610.539 02 5.136
130610.539 03 0.000
130610.619 01 1.065
130610.619 02 5.992
130610.619 03 -0.152
130610.699 01 1.065
130610.699 02 5.564
130610.699 03 -0.152
130610.780 01 1.065
130610.780 02 5.136
130610.780 03 0.000
130610.859 01 1.065
130610.859 02 4.708
130610.859 03 0.000
130610.939 01 1.065
130610.939 02 3.852
130610.939 03 0.000
130611.020 01 1.065
130611.020 02 3.424
130611.020 03 0.000
130611.100 01 1.065
130611.100 02 2.568
130611.100 03 0.000
130611.180 01 1.065
130611.180 02 2.568
130611.181 03 0.000
130611.259 01 1.065
130611.259 02 3.424
130611.259 03 0.000
130611.340 01 1.065
130611.340 02 3.852
130611.340 03 0.000
130611.420 01 1.065
130611.420 02 4.708
130611.420 03 0.152
130611.500 01 1.065
130611.500 02 5.564
130611.500 03 0.000
130611.580 01 1.065
130611.580 02 5.564
130611.581 03 0.000
130611.661 01 1.065
130611.661 02 5.992
130611.661 03 0.000
130611.741 01 1.065
130611.741 02 5.136
130611.741 03 0.000
130611.821 01 1.065
130611.821 02 4.280
130611.821 03 0.000
130611.902 01 1.065
130611.902 02 3.424
130611.902 03 0.000
130611.982 01 1.065
130611.982 02 2.568
130611.982 03 0.000
130612.062 01 1.065
130612.062 02 2.568
130612.062 03 0.000
130612.142 01 1.065
130612.142 02 2.568
130612.142 03 0.000
130612.222 01 1.065
130612.222 02 2.996
130612.222 03 0.000
130612.302 01 1.065
130612.303 02 3.852
130612.303 03 0.152
130612.383 01 1.065
130612.383 02 5.136
130612.383 03 0.000
130612.463 01 1.065
130612.463 02 5.564
130612.463 03 0.152
130612.546 01 1.065
130612.546 02 6.420
130612.546 03 0.000
130612.624 01 1.065
130612.624 02 5.992
130612.624 03 0.152
130612.704 01 1.065
130612.704 02 4.708
130612.704 03 0.000
130612.784 01 1.065
130612.784 02 3.852
130612.784 03 0.000
130612.865 01 1.065
130612.865 02 2.568
130612.865 03 0.000
130612.945 01 1.065
130612.945 02 2.140
130612.945 03 0.152
130613.025 01 1.065
130613.025 02 2.140
130613.025 03 0.000
130613.105 01 1.065
130613.105 02 2.568
130613.106 03 0.000
130613.185 01 1.065
130613.185 02 3.424
130613.186 03 0.000
130613.265 01 1.065
130613.265 02 4.708
130613.265 03 0.000
130613.346 01 1.065
130613.346 02 5.564
130613.346 03 0.000
130613.426 01 1.065
130613.427 02 5.992
130613.427 03 0.000
130613.506 01 1.065
130613.506 02 5.564
130613.507 03 0.000
130613.587 01 1.065
130613.587 02 5.564
130613.587 03 0.000
130613.667 01 1.065
130613.667 02 5.136
130613.667 03 0.000
130613.747 01 1.065
130613.747 02 3.424
130613.747 03 0.000
130613.827 01 1.065
130613.828 02 2.568
130613.828 03 0.000
130613.908 01 1.065
130613.908 02 2.568
130613.908 03 -0.152
130613.988 01 1.065
130613.988 02 2.568
130613.988 03 -0.152
130614.068 01 1.065
130614.068 02 3.852
130614.068 03 -0.152
130614.149 01 1.065
130614.149 02 5.136
130614.149 03 -0.152
130614.229 01 1.065
130614.229 02 5.564
130614.229 03 0.000
130614.309 01 1.065
130614.309 02 5.564
130614.310 03 0.000
130614.389 01 1.065
130614.389 02 5.564
130614.389 03 0.000
130614.469 01 1.065
130614.469 02 5.564
130614.469 03 0.000
130614.550 01 1.065
130614.550 02 4.280
130614.550 03 0.000
130614.630 01 1.065
130614.630 02 2.996
130614.630 03 0.000
130614.710 01 1.065
130614.710 02 2.568
130614.710 03 0.000
130614.790 01 1.065
130614.790 02 2.568
130614.790 03 0.000
130614.869 01 1.065
130614.869 02 2.568
130614.869 03 0.000
130614.950 01 1.065
130614.950 02 2.996
130614.950 03 0.000
130615.030 01 1.065
130615.030 02 4.280
130615.030 03 0.000
130615.110 01 1.065
130615.110 02 3.852
130615.110 03 0.000
130615.189 01 1.065
130615.189 02 4.280
130615.189 03 0.000
130615.270 01 1.065
130615.270 02 4.708
130615.270 03 0.000
130615.350 01 1.065
130615.350 02 4.708
130615.350 03 0.000
130615.430 01 1.065
130615.430 02 4.708
130615.430 03 0.000
130615.511 01 1.065
130615.511 02 3.424
130615.511 03 0.000
130615.590 01 1.065
130615.591 02 2.568
130615.591 03 0.000
130615.671 01 1.065
130615.671 02 2.568
130615.671 03 0.000
130615.751 01 1.065
130615.751 02 2.996
130615.751 03 0.000
130615.831 01 1.065
130615.831 02 3.424
130615.831 03 0.000
130615.912 01 1.065
130615.912 02 3.852
130615.912 03 0.152
130615.990 01 1.065
130615.990 02 5.564
130615.991 03 0.000
130616.071 01 1.065
130616.071 02 5.136
130616.071 03 0.000
130616.151 01 1.065
130616.151 02 5.136
130616.151 03 0.000
130616.231 01 1.065
130616.231 02 5.136
130616.231 03 0.000
130616.311 01 1.065
130616.311 02 4.280
130616.311 03 0.000
130616.391 01 1.065
130616.391 02 4.280
130616.392 03 0.000
130616.472 01 1.065
130616.472 02 3.424
130616.472 03 0.000
130616.552 01 1.065
130616.552 02 3.424
130616.552 03 0.000
130616.633 01 1.065
130616.633 02 2.996
130616.633 03 0.000
130616.713 01 1.065
130616.713 02 2.996
130616.713 03 0.000
130616.793 01 1.065
130616.793 02 3.424
130616.793 03 0.000
130616.873 01 1.065
130616.873 02 4.280
130616.873 03 0.000
130616.953 01 1.065
130616.953 02 4.708
130616.953 03 0.000
130617.033 01 1.065
130617.033 02 4.280
