Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
082811.775 01 1.089
082811.775 02 2.568
082811.775 03 -1.976
082811.855 01 1.089
082811.856 02 2.140
082811.856 03 -1.976
082811.936 01 1.092
082811.936 02 2.568
082811.936 03 -1.976
082812.016 01 1.089
082812.016 02 2.996
082812.017 03 -2.280
082812.097 01 1.092
082812.097 02 2.568
082812.097 03 -2.736
082812.177 01 1.089
082812.177 02 2.996
082812.177 03 -3.192
082812.257 01 1.089
082812.257 02 2.568
082812.257 03 -2.888
082812.337 01 1.089
082812.337 02 2.568
082812.337 03 -1.976
082812.418 01 1.089
082812.418 02 2.568
082812.418 03 -1.672
082812.498 01 1.092
082812.498 02 2.568
082812.498 03 -1.824
082812.579 01 1.092
082812.579 02 2.996
082812.579 03 -1.824
082812.658 01 1.089
082812.659 02 2.568
082812.659 03 -1.520
082812.739 01 1.089
082812.739 02 2.568
082812.739 03 -0.912
082812.819 01 1.089
082812.819 02 2.568
082812.819 03 -0.608
082812.900 01 1.089
082812.900 02 2.996
082812.900 03 -0.608
082812.979 01 1.089
082812.979 02 2.568
082812.980 03 -0.608
082813.060 01 1.089
082813.061 02 2.996
082813.061 03 -0.456
082813.140 01 1.089
082813.141 02 2.568
082813.141 03 -0.152
082813.220 01 1.089
082813.221 02 2.568
082813.221 03 -0.152
082813.301 01 1.089
082813.301 02 2.996
082813.301 03 -0.304
082813.381 01 1.089
082813.381 02 2.568
082813.381 03 0.152
082813.462 01 1.092
082813.462 02 2.996
082813.462 03 1.216
082813.542 01 1.089
082813.542 02 2.568
082813.542 03 1.368
082813.622 01 1.089
082813.622 02 2.568
082813.622 03 0.456
082813.702 01 1.089
082813.702 02 2.140
082813.702 03 -0.304
082813.783 01 1.092
082813.783 02 2.568
082813.783 03 -0.152
082813.864 01 1.089
082813.864 02 3.424
082813.864 03 0.608
082813.943 01 1.089
082813.943 02 2.568
082813.943 03 0.912
082814.023 01 1.092
082814.023 02 2.568
082814.023 03 0.456
082814.104 01 1.089
082814.104 02 2.140
082814.104 03 -0.608
082814.184 01 1.089
082814.184 02 2.568
082814.184 03 -0.760
082814.265 01 1.089
082814.265 02 2.140
082814.265 03 0.000
082814.345 01 1.092
082814.345 02 2.568
082814.345 03 0.304
082814.425 01 1.092
082814.425 02 2.568
082814.425 03 0.000
082814.505 01 1.089
082814.505 02 2.568
082814.505 03 -0.456
082814.586 01 1.089
082814.586 02 2.568
082814.586 03 -0.304
082814.666 01 1.089
082814.666 02 2.996
082814.666 03 0.304
082814.746 01 1.089
082814.746 02 2.140
082814.746 03 0.456
082814.826 01 1.089
082814.826 02 2.568
082814.827 03 0.456
082814.906 01 1.089
082814.906 02 2.140
082814.906 03 0.152
082814.986 01 1.089
082814.986 02 2.140
082814.986 03 0.152
082815.066 01 1.092
082815.066 02 2.140
082815.066 03 0.304
082815.146 01 1.092
082815.147 02 2.568
082815.147 03 0.304
082815.226 01 1.092
082815.226 02 2.140
082815.227 03 0.000
082815.227 07 0
082815.307 01 1.089
082815.307 02 2.140
082815.307 03 -0.304
082815.388 01 1.089
082815.388 02 2.140
082815.388 03 -0.152
082815.468 01 1.089
082815.468 02 2.140
082815.468 03 0.000
082815.548 01 1.089
082815.548 02 2.568
082815.548 03 0.000
082815.629 01 1.089
082815.629 02 2.140
082815.629 03 -0.152
082815.708 01 1.092
082815.708 02 2.140
082815.709 03 -0.152
082815.789 01 1.092
